id, typ, vyrobce, cena, kod  
9,Tlumiče a kompresory pérovaní,Bosch,4887,A1643200725 
4,Vstřikovače,Bosch,5139,0445116030 
3,Čerpadlo - tryska PDE/UIS,Bosch,5313,0414720313 
15,Turbodmychadla,Garett,5376,753420-5006S 
12,Turbodmychadla,Zexel,7093,454231-5010S 
5,Vysokotlaká čerpadla,Delphi,8452,R9042A041A 
14,Vstřikovače,Bosch,12500,0445116030 
13,Vstřikovací čerpadla,Bosch,17164,0470504005 
7,AdBlue - Podávací modul pro vstřikování močoviny,Bosch,21900,0444010008 
6,Vysokotlaká čerpadla,Bosch,24109,0445010507 
